UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
116484,1,999,1716,1321,395
116484,2,1,1716,1321,395
116563,1,999,154,1,153
116563,2,1,154,1,153
116712,1,999,1799,466,1333
116712,2,1,358,87,271
116712,4,3,1441,379,1062
116846,1,999,251,126,125
116846,2,1,135,62,73
116846,4,3,116,64,52
117052,1,999,20871,8800,12071
117052,2,1,20871,8800,12071
117104,1,999,648,350,298
117104,2,1,648,350,298
117113,1,999,2824,1463,1361
117113,2,1,2824,1463,1361
117140,1,999,10304,4068,6236
117140,2,1,5528,2260,3268
117140,4,3,4776,1808,2968
117168,1,999,527,195,332
117168,2,1,483,183,300
117168,4,3,44,12,32
117195,1,999,5785,2463,3322
117195,2,1,5785,2463,3322
117238,1,999,195,32,163
117238,2,1,195,32,163
117247,1,999,20881,9217,11664
117247,2,1,20881,9217,11664
117274,1,999,6071,4747,1324
117274,2,1,6071,4747,1324
117520,1,999,410,233,177
117520,4,3,410,233,177
117557,1,999,524,283,241
117557,2,1,146,59,87
117557,4,3,378,224,154
117575,1,999,271,177,94
117575,2,1,105,72,33
117575,4,3,166,105,61
117627,1,999,2824,1239,1585
117627,2,1,2051,905,1146
117627,4,3,773,334,439
117636,1,999,5130,1945,3185
117636,2,1,1403,391,1012
117636,4,3,3727,1554,2173
117645,1,999,35722,17332,18390
117645,2,1,35722,17332,18390
117672,1,999,1190,552,638
117672,2,1,641,241,400
117672,4,3,549,311,238
117690,1,999,15515,6366,9149
117690,2,1,15515,6366,9149
117706,1,999,30280,13770,16510
117706,2,1,30280,13770,16510
117715,1,999,11299,3316,7983
117715,2,1,11299,3316,7983
117724,1,999,23287,12081,11206
117724,2,1,23287,12081,11206
117733,1,999,29543,12371,17172
117733,2,1,29543,12371,17172
117751,1,999,1780,1094,686
117751,2,1,1184,627,557
117751,4,3,596,467,129
117788,1,999,31261,13398,17863
117788,2,1,31261,13398,17863
117803,1,999,354,92,262
117803,2,1,354,92,262
117867,1,999,16115,6296,9819
117867,2,1,16115,6296,9819
117894,1,999,14574,6584,7990
